UNIT_NUMBER,S1,S2,S3,S4,S5
5,518.67,641.77,1583.59,1395.26,14.62
5,518.67,642.42,1589.69,1394.88,14.62
5,518.67,642.07,1582.45,1396.29,14.62
5,518.67,642.08,1586.84,1397.94,14.62
5,518.67,642.03,1581.45,1394.28,14.62
5,518.67,642.32,1586.1,1390.56,14.62
5,518.67,642.78,1585.21,1399.1,14.62
5,518.67,642.49,1585.88,1393.41,14.62
5,518.67,641.69,1581.46,1394.2,14.62
5,518.67,642.18,1583.92,1390.3,14.62
5,518.67,641.9,1585.25,1393.09,14.62
5,518.67,641.97,1583.89,1394.07,14.62
5,518.67,641.9,1579.55,1402.31,14.62
5,518.67,641.93,1578.03,1396.28,14.62
5,518.67,641.88,1589.42,1394.11,14.62
5,518.67,641.56,1578.43,1390.29,14.62
5,518.67,642,1581.87,1400.59,14.62
5,518.67,642.05,1584.71,1391.09,14.62
5,518.67,642.36,1588.06,1397.43,14.62
5,518.67,642.27,1582.85,1393.07,14.62
5,518.67,642.05,1581.71,1397.41,14.62
5,518.67,642.38,1581.33,1399.59,14.62
5,518.67,641.57,1582.59,1399.12,14.62
5,518.67,642.13,1592.43,1400.89,14.62
5,518.67,642.05,1582.82,1397.33,14.62
5,518.67,641.61,1578.77,1398.19,14.62
5,518.67,642.22,1582.69,1394.22,14.62
5,518.67,641.97,1575.77,1402.43,14.62
5,518.67,642.48,1576.5,1392.82,14.62
5,518.67,642.66,1574.8,1397.69,14.62
5,518.67,642.06,1585.84,1402.33,14.62
5,518.67,642.41,1582.76,1397.12,14.62
5,518.67,641.76,1591.02,1402.42,14.62
5,518.67,641.68,1581.62,1392.22,14.62
5,518.67,642.16,1580.02,1395.31,14.62
5,518.67,641.3,1586.91,1394.4,14.62
5,518.67,642.04,1585.52,1394.71,14.62
5,518.67,642.38,1584.21,1396.82,14.62
5,518.67,641.82,1578.77,1396.39,14.62
5,518.67,642.76,1583.56,1402.27,14.62
5,518.67,642.82,1585.13,1399.13,14.62
5,518.67,641.92,1589.59,1394.97,14.62
5,518.67,641.78,1587.27,1394.26,14.62
5,518.67,641.77,1583.83,1395.7,14.62
5,518.67,642.32,1584.3,1399.71,14.62
5,518.67,642.24,1586.87,1400.55,14.62
5,518.67,641.95,1579.17,1397.44,14.62
5,518.67,641.38,1576.29,1395.62,14.62
5,518.67,642.11,1583.18,1394.48,14.62
5,518.67,642.2,1586.48,1403.06,14.62
5,518.67,642.32,1580.84,1393.67,14.62
5,518.67,641.86,1585.97,1403.88,14.62
5,518.67,642.2,1582.71,1393.24,14.62
5,518.67,642.14,1577.1,1399.58,14.62
5,518.67,641.98,1586.8,1394.57,14.62
5,518.67,642.12,1581.49,1397.74,14.62
5,518.67,641.95,1578.24,1394.93,14.62
5,518.67,642.61,1581.9,1399.9,14.62
5,518.67,642.05,1589.45,1400.43,14.62
5,518.67,642,1582.34,1396.08,14.62
5,518.67,642.36,1586.95,1396.92,14.62
5,518.67,641.94,1581.42,1406.63,14.62
5,518.67,642.18,1585.76,1392.17,14.62
5,518.67,642.4,1586.2,1396.45,14.62
5,518.67,641.96,1578.21,1389.19,14.62
5,518.67,642.16,1582.39,1402.35,14.62
5,518.67,641.67,1582.01,1396.82,14.62
5,518.67,642,1579.94,1395.59,14.62
5,518.67,641.9,1589.43,1390.32,14.62
5,518.67,641.86,1583.3,1389.87,14.62
5,518.67,642.35,1581.52,1401.7,14.62
5,518.67,641.76,1580.74,1399.84,14.62
5,518.67,642.28,1586.66,1396.49,14.62
5,518.67,642.05,1576.18,1403.57,14.62
5,518.67,642.34,1576.87,1395.05,14.62
5,518.67,642.29,1585.43,1402.8,14.62
5,518.67,642.99,1582.03,1400.14,14.62
5,518.67,642.15,1593.61,1407.48,14.62
5,518.67,642.16,1583.08,1401.35,14.62
5,518.67,642.18,1582.73,1396.24,14.62
5,518.67,642.38,1592.17,1400.48,14.62
5,518.67,642.5,1584.27,1400.08,14.62
5,518.67,642.19,1588.18,1395.2,14.62
5,518.67,642.59,1587.38,1396.86,14.62
5,518.67,642.42,1582.86,1403.16,14.62
5,518.67,642.21,1585.24,1402.72,14.62
5,518.67,642.39,1588.63,1399.65,14.62
5,518.67,642.38,1588.61,1400.56,14.62
5,518.67,642.54,1580,1399.09,14.62
5,518.67,641.75,1587.26,1398.29,14.62
5,518.67,642.4,1584.88,1397.86,14.62
5,518.67,641.96,1584.87,1397.48,14.62
5,518.67,642.14,1586.11,1407.84,14.62
5,518.67,642.44,1589.66,1402.46,14.62
5,518.67,642.27,1580.93,1394.89,14.62
5,518.67,642.62,1580.17,1403.38,14.62
5,518.67,641.94,1580.56,1403.69,14.62
5,518.67,641.62,1581.93,1395.22,14.62
5,518.67,642.17,1591.08,1391.43,14.62
5,518.67,641.92,1585.75,1397.44,14.62
5,518.67,642.7,1579.62,1397.41,14.62
5,518.67,642.63,1579.47,1393.14,14.62
5,518.67,641.39,1585.05,1397.75,14.62
5,518.67,642.13,1588.35,1405.5,14.62
5,518.67,642.52,1582.74,1399.72,14.62
5,518.67,642.42,1585.81,1399.66,14.62
5,518.67,642.12,1580.22,1403.27,14.62
5,518.67,642.61,1592.57,1406.74,14.62
5,518.67,642.03,1581.03,1391.38,14.62
5,518.67,641.57,1580.4,1400.61,14.62
5,518.67,642.12,1588.25,1399.03,14.62
5,518.67,642.18,1578.36,1398.63,14.62
5,518.67,642.47,1581.8,1397.04,14.62
5,518.67,642.12,1586.53,1399.95,14.62
5,518.67,642.77,1582.08,1402.61,14.62
5,518.67,641.54,1578.3,1397.36,14.62
5,518.67,642.57,1585.3,1406.58,14.62
5,518.67,642.04,1589.99,1394.96,14.62
5,518.67,642.25,1585.03,1391.47,14.62
5,518.67,641.96,1587.16,1405.61,14.62
